/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 0
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 1
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 2
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 3
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 4
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 5
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 6
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 7
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 8
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:41:23 main 74 9
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 0
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 1
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 2
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 3
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 4
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 5
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 6
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 7
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 8
/Users/b_white/JetBrains/CLionProjects/2021.12.26/main.c Dec 28 2021 16:44:14 main 74 1 9
